column,stored_system,stored_code,stored_display,occurrences,subjects
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,4019,Unspecified essential hypertension,89,45
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E785,"Hyperlipidemia, unspecified",58,22
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z794,Long term (current) use of insulin,56,11
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2724,Other and unspecified hyperlipidemia,56,34
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E039,"Hypothyroidism, unspecified",51,10
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I10,Essential (primary) hypertension,45,19
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,25000,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",45,22
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,42731,Atrial fibrillation,39,18
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,N179,"Acute kidney failure, unspecified",38,15
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E119,Type 2 diabetes mellitus without complications,35,13
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z87891,Personal history of nicotine dependence,35,15
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,F329,"Major depressive disorder, single episode, unspecified",34,10
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I2510,Atherosclerotic heart disease of native coronary artery without angina pectoris,33,13
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,311,"Depressive disorder, not elsewhere classified",31,16
