element,via,system,code,display,resources
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-formulary-drug-cd,NACLFLUSH,,585
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00338004904,,381
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00002751001,,306
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,63323026201,,291
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00088222033,,290
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00338011704,,215
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00904224461,,179
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00409490234,,169
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00245004101,,160
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00904516561,,156
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,51079025520,,149
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00409128331,,144
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00002821501,,136
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,66758016013,,131
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,51079000220,,125
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00409198530,,122
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,55390000401,,121
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,76439034310,,121
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,38396055018,,116
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00409610204,,115
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00406055262,,101
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,43825010201,,101
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-formulary-drug-cd,INSULIN,,99
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00574705050,,99
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00409610202,,94
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00904404073,,88
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,60258000601,,84
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,11523726808,,76
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00517570225,,73
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00641607825,,72
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00904198861,,72
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00121054410,,71
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00904644461,,69
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00456066270,,68
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00904198261,,66
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00904053061,,65
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,08290036005,,65
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00409177805,,62
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00002871501,,60
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00536338101,,58
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00121043130,,57
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00338008504,,56
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,51079007220,,53
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00409131230,,52
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,61553020648,,51
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00006473900,,50
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00121065721,,50
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00904399061,,48
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,08290306525,,48
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00641608025,,47
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00904526161,,47
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00054839224,,46
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,49502069724,,46
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,54569523500,,46
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,64980010401,,46
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00338001704,,44
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00056016975,,43
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00409189001,,42
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,63323026965,,42
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,51079045320,,39
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,68084007001,,39
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,76329301205,,37
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,17478093401,,36
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,51079041720,,36
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,63323054011,,36
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,00056017275,,35
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,66553000401,,35
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,67467064301,,35
MedicationRequest.medication[x],Medication.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,68084053901,,35
