column,stored_system,stored_code,stored_display,occurrences,subjects
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,4019,Unspecified essential hypertension,124177,55929
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I10,Essential (primary) hypertension,72970,39933
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2724,Other and unspecified hyperlipidemia,65033,33661
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,25000,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",53055,21863
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E785,"Hyperlipidemia, unspecified",49967,28558
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,53081,Esophageal reflux,46533,24118
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z87891,Personal history of nicotine dependence,38906,21364
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,42731,Atrial fibrillation,38741,16892
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,311,"Depressive disorder, not elsewhere classified",38401,20066
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,4280,"Congestive heart failure, unspecified",37338,14576
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,K219,Gastro-esophageal reflux disease without esophagitis,34381,19457
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,41401,Coronary atherosclerosis of native coronary artery,34324,17871
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,F329,"Major depressive disorder, single episode, unspecified",33321,17658
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1582,Personal history of tobacco use,30226,17871
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5849,"Acute kidney failure, unspecified",29938,17579
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2449,Unspecified acquired hypothyroidism,28830,13122
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I2510,Athscl heart disease of native coronary artery w/o ang pctrs,26966,13835
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5990,"Urinary tract infection, site not specified",26310,16162
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2859,"Anemia, unspecified",25548,17557
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2720,Pure hypercholesterolemia,25533,16091
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E119,Type 2 diabetes mellitus without complications,25422,13819
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,F419,"Anxiety disorder, unspecified",24653,15292
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,3051,Tobacco use disorder,24546,14345
