location,resource_type,system,code,unit,occurrences
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg,mg,18746275
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,ml,ml,4813730
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mL,mL,2894194
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,UNIT,UNIT,1431911
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,dose,dose,795012
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mEq,mEq,745077
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg,mcg,661993
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,g,g,652803
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Units,Units,565636
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,units,units,541620
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,TAB,TAB,401689
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,NEB,NEB,372248
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,gm,gm,371952
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,DROP,DROP,220121
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Appl,Appl,210377
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,grams,grams,195035
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,CAP,CAP,145208
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PUFF,PUFF,126719
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PTCH,PTCH,106692
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,INH,INH,96067
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,SPRY,SPRY,71378
