stream,source_system,method,target_systems,consumed_by,enumerated_total,used_in_data,mapped,mapped_used,coverage_pct,occurrences_total,occurrences_mapped,occurrence_coverage_pct,codes_never_used,equivalent,relatedto,unmatched,confidence_threshold,confidence_median,within_0.05,within_0.1,within_0.2,within_0.3,within_0.4,reason_absent-from-all-built-releases,reason_no-row-in-curated-table,reason_no-suitable-concept,reason_not-observed-in-data,status_agentic-no-result,status_below-threshold,status_device-care,status_extension,status_gate-failed,status_intent-dropped,status_no-content,status_no-label,status_no-match,status_not-a-volume,status_not-attempted,status_not-in-constraint,status_not-needed,status_not-searchable,status_ok,status_out-of-constraint,status_scale-mismatch,status_total,status_wrong-action
chartevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,table,http://loinc.org;http://snomed.info/sct,observation,2982,2227,1086,1086,48.76,313645032,184600121,58.85,755,0,1086,1896,0.8,0.85,80,302,374,404,404,,,1141,755,,404,,,,2,,,955,,,,,216,1318,,87,,
d-items,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,table,http://snomed.info/sct,procedure,169,157,103,103,65.6,696092,450017,64.64,12,0,103,66,0.8,0.85,13,18,21,35,35,,,54,12,,35,,7,,,,,19,,,,,,108,,,,
datetimeevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,table,http://snomed.info/sct,observation,188,170,91,91,53.52,7112999,3710364,52.16,18,0,91,97,0.8,0.8,7,26,32,32,32,,,79,18,,32,16,1,,,,,37,,,,,,101,,,,1
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,notation,http://hl7.org/fhir/sid/icd-10-cm,condition,18450,18190,18190,18190,100.0,2445484,2445484,100.0,260,18190,0,260,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,
diagnosis-icd9,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,notation,http://hl7.org/fhir/sid/icd-10-cm;http://hl7.org/fhir/sid/icd-9-cm,condition,9463,9379,9379,9379,100.0,3209892,3209892,100.0,84,9379,0,84,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,
formulary-drug,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-formulary-drug-cd,table,http://snomed.info/sct;http://www.nlm.nih.gov/research/umls/rxnorm,medication;medication-administration;medication-code;medication-dispense,4108,2506,2039,2039,81.36,26966741,25731046,95.41,1602,0,2039,2069,0.8,0.9,2,10,11,12,12,,318,149,1602,,12,,,2,,,117,18,,,,555,,1484,,,,
lab-fluid,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-lab-fluid,table,http://snomed.info/sct,specimen,12,9,8,8,88.88,13376689,13353065,99.82,3,0,8,4,0.8,0.95,0,0,0,0,0,,,1,3,,,,,,,2,,,,,1,,,9,,,,
labevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,table,http://loinc.org,observation,1622,915,714,714,78.03,118171367,106572893,90.18,707,0,714,908,0.8,0.85,73,120,131,138,139,,,201,707,,139,,,,,,,346,,,,,7,1130,,,,
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,table,http://snomed.info/sct,medication-statement,1201,1201,626,626,52.12,2975614,2103709,70.69,0,0,626,575,0.8,0.85,87,221,265,295,295,,,575,,,295,,,8,,,,257,,,,,,626,15,,,
medication-gsn,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-gsn,table,http://www.nlm.nih.gov/research/umls/rxnorm,medication-dispense;medication-statement,9347,9347,7776,7776,83.19,4137258,3790691,91.62,0,0,7776,1571,0.85,0.85,236,312,504,560,596,,,1571,,1,596,,,,,,,974,,,,5736,,2040,,,,
medication-icu,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-icu,table,http://snomed.info/sct;http://www.nlm.nih.gov/research/umls/rxnorm,medication;medication-administration;medication-code;medication-dispense,474,324,214,214,66.04,8978893,7017065,78.15,150,0,214,260,0.8,0.85,3,12,14,14,14,,,110,150,,14,,,1,,,,18,,,,153,77,61,,,,
medication-name,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-name,table,http://snomed.info/sct;http://www.nlm.nih.gov/research/umls/rxnorm,medication;medication-administration;medication-code;medication-dispense,9971,9876,3656,3656,37.01,15679529,15099534,96.3,95,0,3656,6315,0.85,0.85,48,68,119,136,138,,5968,252,95,,138,,,15,,,,99,,,,2166,,1490,,,,
medication-ndc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-ndc,table,http://snomed.info/sct;http://www.nlm.nih.gov/research/umls/rxnorm,medication;medication-administration;medication-code;medication-dispense,5733,5732,5109,5109,89.13,11000655,10003602,90.93,1,0,5109,624,,,,,,,,,,623,1,,,,,,,,,,,,,,,,,,,
medication-poe-iv,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-poe-iv,table,http://snomed.info/sct;http://www.nlm.nih.gov/research/umls/rxnorm,medication;medication-administration;medication-code;medication-dispense,2,2,0,0,0.0,353392,0,0.0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,
medication-with-unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,identity,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,medication-administration,1,1,1,1,100.0,931,931,100.0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micro-org,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,table,http://snomed.info/sct,observation,646,646,622,622,96.28,289928,245856,84.79,0,0,622,24,0.8,1.0,2,5,15,15,15,,,24,,,15,,,,,,,9,,,,,,622,,,,
micro-susc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-antibiotic,table,http://loinc.org,observation,27,27,27,27,100.0,1107278,1107278,100.0,0,0,27,0,0.8,0.85,0,0,0,0,0,,,,,,,,,,,,,,,,,,,27,,,,
micro-test,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-test,table,http://loinc.org,observation,176,176,116,116,65.9,2184371,1501052,68.71,0,0,116,60,0.8,0.85,11,25,26,27,27,,,60,,,27,,,,,,,33,,,,,,116,,,,
observation-component-vital,http://loinc.org,identity,http://loinc.org,observation-component,2,2,2,2,100.0,3979394,3979394,100.0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observation-type-ed,http://loinc.org,identity,http://loinc.org,observation,4,4,4,4,100.0,4404481,4404481,100.0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observation-type-vital,http://loinc.org,identity,http://loinc.org,observation,5,5,5,5,100.0,9948485,9948485,100.0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputevents,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,table,http://loinc.org,observation,77,71,60,60,84.5,4234967,4160537,98.24,6,0,60,17,0.8,0.9,3,3,3,3,3,,,11,6,,3,,,,,,,4,5,,,,,61,,,4,
procedure-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-procedure-icd10,notation,http://www.cms.gov/Medicare/Coding/ICD10,procedure,10031,10031,10031,10031,100.0,223107,223107,100.0,0,10031,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedure-icd9,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-procedure-icd9,notation,http://hl7.org/fhir/sid/icd-9-cm,procedure,2544,2544,2542,2542,99.92,446079,445936,99.96,0,2542,0,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
procedure-types-ed,http://snomed.info/sct,identity,http://snomed.info/sct,procedure,2,2,2,2,100.0,1989697,1989697,100.0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec-type,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-spec-type-desc,table,http://snomed.info/sct,specimen,104,104,81,81,77.88,1587214,1441053,90.79,0,0,81,23,0.8,0.9,3,5,5,5,5,,,23,,,5,,,,,,,18,,,,,,81,,,,
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,table,http://unitsofmeasure.org,units,505,,299,,,,,,,299,0,206,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,
units-ucum-native,http://unitsofmeasure.org,identity,http://unitsofmeasure.org,units,4,,4,,,,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
